==================
Link index name here
This text file contains the records of the gallery that is currently up. ES_Gallery.html will use this file to generate the article list.
To add a record, follow the format for one line: Album Name%&Album Photographer(s)%&Album Category%&Date Published%&File name of the index file associated with the album (remove Index_ prefix and .txt extension)%&Thumbnail image
Scanning starts at line 7. 
==================
Leaders' Convergence%&Kiro Fernandez%&Organization Meeting%&23 June 2023%&Leaders_Convergence%&https://drive.google.com/uc?export=view&id=1gPCfidhNHB2f3eDJ1TEKQFRsSebcudtr
General Assembly 2023%&Nyx Galera, Aerol Jacob Epino%&Organization Meeting%&26 September 2023%&General_Assembly_2023%&https://drive.google.com/uc?export=view&id=1V4LM-K9_duwtQwaWBl_PpSfCEHHPAHHd
Fire Safety Seminar and Fire Drill%&Elmer Felisilda%&Seminars%&27 October 2023%&Fire_Drill_2023%&https://drive.google.com/uc?export=view&id=15bFLpbtfJnC4kx0A6CecrHrf_EhT1BiE
Talent Search 2023 - Opening Ceremony%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_OpeningCeremony%&https://drive.google.com/uc?export=view&id=1OcUiaBu4F242BjkB7M6gPp09UTyGifX-
Talent Search 2023 - Battle of the Bands%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_BattleOfTheBands%&https://drive.google.com/uc?export=view&id=1-BAC335gmqlq7hStGx0soDosReph1a1s
Talent Search 2023 - Singing Idol%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_SingingIdol%&https://drive.google.com/uc?export=view&id=1OikaTg-saDGuNrG3lN_NnE6eh6qOTSS5
Talent Search 2023 - Hataw Sayaw%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_HatawSayaw%&https://drive.google.com/uc?export=view&id=1xPrxR_I-r9aCIaBOavOWBA9_di-M1_J0
Talent Search 2023 - Mr. and Ms. STI: Casual Wear%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_MrAndMs_CasualWear%&https://drive.google.com/uc?export=view&id=1G0Go8gahGM1IuIWYA_Gi7lkmUdodv77k
Talent Search 2023 - Mr. and Ms. STI: Swim Wear%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_MrAndMs_SwimWear%&https://drive.google.com/uc?export=view&id=17ECQrW-4MbtH3J4Zaku2k__yuPCcR_7p
Talent Search 2023 - Mr. and Ms. STI: Formal Wear%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_MrAndMs_FormalWear%&https://drive.google.com/uc?export=view&id=1jV8BEeXlB3uT5rHbRsPd73pvoXYIgCjG
Talent Search 2023 - Intermissions%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_Intermissions%&https://drive.google.com/uc?export=view&id=1TNwTBf6Nh0JozF3RMPxgsHrAaeBDaWtF
Talent Search 2023 - Audience%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_Audience%&https://drive.google.com/uc?export=view&id=1EDBmgy_DJT4PdYI8GKPil3wLg9_jEYWn
Talent Search 2023 - Hosts and Teachers%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_HostsAndTeachers%&https://drive.google.com/uc?export=view&id=1yWQG14EU8ka5rnb5eal61QSJmlV5CzHK
Talent Search 2023 - Awarding%&Catherine Basarte, Deniel Bamba, Adrienne Dillo, Earl Justine Tan, Mariah Julian, Karl-ryll Avelino, Ralph Andrae Robles, Sophia Ysabel Caballes, Elmer Felisilda%&STI College Marikina Talent Search 2023%&7 October 2023%&TalentSearch2023_Awarding%&https://drive.google.com/uc?export=view&id=1zyr7QlmA8PlkwLYPnCEjTiavdYFLG25O
